Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
68,2015,6.75,8.12,18796,2,0,1,0
50,2008,0.25,0.58,1900,2,1,0,0
36,2013,0.25,0.51,32000,2,1,1,0
15,2010,0.52,0.94,45000,2,1,1,0
90,2011,2.35,4.89,54200,2,0,1,0
63,2014,2.5,3.46,45280,2,0,1,0
69,2016,10.25,13.6,49562,2,0,1,0
71,2010,4.75,18.54,50000,2,0,1,0
75,2012,2.0,4.43,23709,2,0,1,0
64,2015,5.75,7.5,44000,2,0,0,0
32,2017,0.8,0.87,3000,2,1,1,0
94,2013,6.15,9.4,45000,1,0,1,0
87,2016,7.4,8.5,15059,2,0,0,0
69,2015,8.5,13.6,40324,2,0,1,0
8,2011,0.45,0.95,24000,2,1,1,0
83,2011,2.55,4.43,57000,2,0,1,0
81,2012,14.5,30.61,89000,1,0,0,0
81,2010,9.25,20.45,59000,1,0,1,0
69,2009,3.35,11.0,87934,2,0,1,0
18,2008,0.2,0.787,50000,2,1,1,0
9,2013,0.27,0.47,21000,2,1,1,0
63,2016,2.85,3.95,25000,2,0,1,0
13,2014,0.4,0.64,13700,2,1,1,0
71,2016,14.73,14.89,23000,1,0,1,0
86,2014,11.25,16.09,58242,1,0,1,0
51,2017,0.65,0.81,11800,2,1,1,0
80,2011,2.65,5.71,43000,2,0,1,0
76,2016,7.75,10.79,43000,1,0,1,0
62,2017,2.85,3.6,2135,2,0,1,0
31,2017,0.45,0.51,4000,2,1,0,0
82,2015,5.25,5.7,24678,2,0,1,0
71,2016,14.25,20.91,12000,2,0,1,0
94,2013,5.11,9.4,36198,2,0,0,0
63,2016,3.0,3.76,10079,2,0,1,0
76,2015,7.25,10.79,41678,1,0,1,0
48,2011,1.05,1.5,6900,2,1,1,0
69,2011,4.1,10.0,69341,2,0,1,0
69,2009,3.0,10.0,69562,2,0,1,0
71,2011,4.35,13.74,88000,2,0,1,0
11,2017,1.45,1.6,1200,2,1,1,0
80,2014,3.95,6.76,71000,1,0,1,0
92,2014,4.95,7.49,39000,1,0,1,0
35,2015,0.38,0.72,38600,2,1,1,0
52,2011,0.5,0.826,6000,2,1,1,0
83,2011,2.7,4.6,22517,2,0,1,0
46,2013,1.1,1.47,33000,2,1,1,0
93,2010,2.65,7.98,41442,2,0,1,0
27,2016,0.3,0.48,50000,2,1,1,0
71,2013,7.05,18.61,45000,2,0,1,0
51,2014,0.42,0.81,42000,2,1,1,0
69,2010,3.25,9.9,38000,2,0,1,0
71,2012,5.9,13.74,56000,2,0,1,0
83,2013,4.0,4.6,30000,2,0,1,0
51,2012,0.6,0.81,19000,2,1,1,0
82,2013,3.9,5.7,53000,1,0,1,0
6,2017,0.9,0.95,1300,2,1,1,0
5,2016,0.6,0.8,20000,2,1,1,0
61,2014,0.5,0.88,8000,2,1,1,0
97,2017,5.75,7.13,12479,2,0,1,0
77,2015,4.5,7.27,40534,2,0,1,0
82,2015,5.5,5.7,4492,2,0,1,0
14,2008,0.25,0.75,26000,2,1,1,1
33,2013,0.3,0.58,30000,2,1,1,0
7,2015,0.6,0.95,16600,2,1,1,0
69,2014,7.2,9.9,48000,1,0,1,0
93,2003,2.25,7.98,62000,2,0,1,0
4,2016,0.75,0.8,7000,2,1,1,0
3,2015,0.18,0.32,35000,2,1,1,0
28,2015,0.4,0.54,14000,2,1,1,0
82,2016,5.25,5.7,3493,2,0,1,1
46,2015,1.15,1.47,17000,2,1,1,0
64,2014,3.65,7.0,35000,2,0,1,0
49,2013,1.05,1.9,5400,2,1,1,0
66,2013,3.5,5.9,9800,2,0,1,0
69,2016,10.9,13.6,30753,2,0,0,0
94,2015,8.25,9.4,61381,1,0,1,0
53,2014,0.35,0.52,19000,2,1,0,0
68,2017,7.25,9.85,6900,2,0,1,0
49,2015,1.1,1.9,14000,2,1,1,0
39,2010,0.31,1.05,213000,2,1,1,0
30,2016,0.35,0.57,24000,2,1,0,0
45,2016,1.05,1.17,6000,2,1,1,0
83,2012,3.1,4.6,35775,2,0,1,0
66,2016,5.5,5.97,5600,2,0,1,0
60,2017,0.78,0.84,5000,2,1,1,0
78,2015,3.95,6.8,36000,2,0,1,0
90,2012,3.1,5.98,51439,1,0,1,0
86,2005,3.49,13.46,197176,1,0,1,0
87,2016,6.6,7.7,16002,2,0,1,0
46,2017,1.2,1.47,11000,2,1,1,0
69,2016,10.11,13.6,10980,2,0,1,0
94,2015,5.95,9.4,36000,2,0,1,0
66,2015,5.4,6.82,31427,2,0,0,0
69,2016,9.5,11.6,33988,1,0,1,0
74,2015,11.45,14.79,12900,2,0,0,0
86,2017,19.75,23.15,11000,2,0,0,0
10,2011,0.15,0.57,35000,2,1,1,1
88,2010,35.0,92.6,78000,1,0,1,0
84,2011,2.9,6.79,31604,2,0,1,0
52,2014,0.45,0.826,23000,2,1,1,0
68,2015,7.5,9.94,15000,2,0,0,0
73,2015,4.65,7.2,48767,2,0,1,0
68,2015,7.45,10.38,45000,1,0,1,0
12,2014,0.6,0.99,25000,2,1,1,0
94,2017,9.25,9.4,15001,2,0,1,0
69,2006,2.1,7.6,50456,2,0,1,0
59,2012,0.4,0.83,5500,2,1,1,0
86,2017,18.0,19.77,15000,1,0,0,0
71,2017,17.0,18.64,8700,2,0,1,0
84,2017,7.9,8.1,3435,2,0,1,0
75,2017,3.5,4.43,38488,2,0,1,0
93,2008,1.95,7.15,58000,2,0,1,0
71,2009,3.8,18.61,62000,2,0,1,0
75,2016,3.15,4.43,15000,2,0,1,0
32,2016,0.6,0.87,15000,2,1,1,0
92,2017,6.0,6.49,16200,2,1,1,0
64,2014,3.75,6.8,33019,2,0,1,0
57,2016,0.6,0.84,25000,2,1,1,0
14,2006,0.1,0.75,92233,2,1,1,0
90,2014,3.35,5.59,27000,2,0,1,0
69,2015,6.7,10.0,18828,2,0,1,0
87,2010,2.25,7.5,61203,2,0,1,0
42,2017,1.65,1.78,4000,2,1,1,0
69,2016,9.15,13.6,29223,2,0,1,0
66,2012,3.0,5.35,53675,2,0,1,0
2,2017,0.4,0.51,1300,2,1,0,0
49,2016,1.75,1.9,3000,2,1,1,0
0,2003,0.35,2.28,127000,2,1,1,0
81,2014,18.75,35.96,78000,1,0,0,0
16,2012,0.5,0.99,13000,2,1,1,0
75,2016,3.1,4.43,11849,2,0,1,0
82,2015,4.4,5.7,28200,2,0,1,0
97,2014,4.4,7.13,34000,2,0,1,0
68,2015,6.85,10.38,51000,1,0,1,0
66,2015,4.0,5.9,60000,2,0,1,0
66,2017,4.8,5.8,19000,2,0,1,0
63,2010,1.95,3.95,44542,2,0,1,0
94,2013,5.95,9.4,49000,1,0,1,0
92,2014,4.6,6.87,42450,1,0,1,0
47,2012,0.95,1.75,11500,2,1,1,0
76,2014,6.0,9.95,45000,1,0,1,0
75,2015,2.75,4.43,28282,2,0,1,0
28,2016,0.45,0.54,14000,2,1,1,0
94,2012,4.95,9.4,60000,1,0,1,0
69,2015,8.4,13.6,25000,2,0,1,0
37,2013,0.6,1.2,32000,2,1,1,0
81,2015,23.5,35.96,47000,1,0,0,0
20,2013,0.65,0.787,16000,2,1,1,0
32,2017,0.75,0.87,11000,2,1,1,0
66,2015,5.4,6.1,31427,2,0,1,0
68,2016,8.75,8.89,20273,1,0,1,0
71,2011,4.5,12.48,45000,1,0,1,0
87,2017,6.5,8.7,21200,2,0,1,0
80,2014,4.75,6.95,45000,1,0,1,0
68,2014,7.5,12.04,15000,2,0,0,0
94,2017,9.1,9.4,15141,2,0,1,0
38,2017,0.48,0.54,8600,2,1,1,0
63,2014,2.55,3.98,46706,2,0,1,0
47,2009,0.9,1.75,40000,2,1,1,0
69,2015,8.65,13.6,24800,2,0,1,0
94,2014,6.45,9.4,45078,2,0,1,0
31,2017,0.48,0.51,4300,2,1,0,0
96,2013,2.9,4.41,56879,2,0,1,0
64,2015,4.0,5.8,40023,2,0,1,0
41,2014,1.15,2.4,7000,2,1,1,0
86,2017,23.0,25.39,15000,1,0,0,0
82,2015,4.85,5.7,21125,1,0,1,0
82,2017,5.25,5.7,20114,2,0,1,0
65,2016,5.85,7.87,24524,2,0,0,0
94,2012,5.35,9.4,32322,1,0,1,0
87,2016,6.4,8.4,12000,2,0,1,0
87,2016,5.65,7.9,28569,2,0,1,0
84,2010,3.25,6.79,58000,1,0,1,1
73,2009,2.25,7.21,77427,2,0,1,0
76,2015,5.8,7.71,25870,2,0,1,0
86,2016,20.75,25.39,29000,1,0,0,0
64,2015,4.0,7.0,40026,2,0,1,0
84,2012,3.1,6.79,52132,1,0,1,0
66,2014,5.3,6.8,16500,2,0,1,0
83,2011,2.95,4.6,53460,2,0,1,0
7,2010,0.45,0.95,27000,2,1,1,0
89,2012,1.25,2.69,50000,2,0,1,0
94,2012,4.5,9.4,36000,2,0,1,0
60,2015,0.55,0.84,58000,2,1,1,0
24,2007,0.2,0.75,49000,2,1,1,1
84,2014,6.0,7.6,77632,1,0,1,0
69,2013,5.0,9.9,56701,2,0,1,0
96,2011,2.85,4.15,5200,2,0,1,0
48,2013,1.25,1.5,15000,2,1,1,0
86,2005,2.75,10.21,90000,2,1,1,0
14,2015,0.65,0.74,5000,2,1,1,0
93,2013,4.75,9.54,43000,1,0,1,0
6,2016,0.72,0.95,500,2,1,1,0
43,2015,1.35,2.37,21700,2,1,1,0
81,2012,14.9,30.61,104707,1,0,0,0
1,2016,0.45,0.54,500,2,1,0,0
79,2015,4.75,7.85,40000,1,0,1,0
82,2015,5.15,5.7,34797,2,0,0,0
93,2011,2.95,7.74,49998,0,0,1,0
86,2005,3.51,13.7,75000,2,0,1,0
81,2013,16.0,30.61,135000,1,1,0,0
84,2016,6.25,7.6,7000,2,0,1,0
76,2015,6.1,7.71,26000,2,0,1,0
78,2014,4.75,6.76,40000,2,0,1,0
34,2013,0.42,0.73,12000,2,1,1,0
69,2015,8.55,13.09,60076,1,0,1,0
37,2014,0.65,1.2,23500,2,1,1,0
69,2015,8.4,13.6,34000,2,0,1,0
94,2012,5.2,9.4,71000,1,0,1,0
71,2009,3.6,15.04,70000,2,0,0,0
81,2015,23.0,30.61,40000,1,0,0,0
39,2011,0.35,1.05,30000,2,1,1,0
10,2012,0.2,0.57,25000,2,1,1,1
69,2017,11.5,12.5,9000,1,0,1,0
29,2005,0.2,0.57,55000,2,1,1,0
25,2015,0.4,0.55,6700,2,1,1,0
81,2014,19.99,35.96,41000,1,0,0,0
68,2017,7.75,9.29,37000,2,0,0,0
72,2015,11.25,13.6,68000,1,0,1,0
69,2013,5.25,9.9,54242,2,0,1,0
93,2011,4.4,8.01,50000,2,0,0,0
16,2012,0.45,0.99,14500,2,1,1,0
87,2016,6.0,8.4,4000,2,0,1,0
19,2013,0.2,0.65,24000,2,1,1,1
64,2014,3.9,7.0,36054,2,0,1,0
26,2016,0.5,0.55,31000,2,1,1,0
6,2017,0.75,0.95,3500,2,1,1,0
16,2013,0.5,0.99,45000,2,1,1,0
56,2017,1.7,1.82,1400,2,1,1,0
80,2013,3.45,6.05,47000,2,0,1,0
75,2016,2.9,4.43,12500,2,0,1,0
46,2013,1.0,1.47,46500,2,1,1,0
66,2016,5.3,5.9,5464,2,0,1,0
85,2017,4.9,5.71,2400,2,0,1,0
14,2008,0.2,0.75,60000,2,1,1,0
71,2013,7.45,18.61,56001,2,0,1,0
48,2016,1.2,1.5,18000,2,1,1,0
69,2015,7.5,10.0,27600,2,0,1,0
46,2017,1.35,1.47,4100,2,1,1,0
